Nr,Username,Date,Time,Description of Activity,Additional information,Suspicious
1, no username entered, 2022-06-12, 14:17:04, no description given, ., sus?
2, no username entered, 2022-06-12, 14:17:21, no description given, ., sus?
3, no username entered, 2022-06-12, 14:17:46, no description given, ., sus?
4, no username entered, 2022-06-12, 14:20:23, no description given, ., sus?
5, no username entered, 2022-06-12, 14:20:39, no description given, ., sus?
6, no username entered, 2022-06-12, 14:21:55, no description given, ., sus?
7, no username entered, 2022-06-12, 14:22:56, no description given, ., sus?
8, no username entered, 2022-06-12, 14:24:12, no description given, ., sus?
9, no username entered, 2022-06-13, 14:11:38, no description given, ., sus?
10, no username entered, 2022-06-13, 14:17:58, no description given, ., sus?
11, no username entered, 2022-06-13, 14:19:06, no description given, ., sus?
12, no username entered, 2022-06-13, 14:19:48, no description given, ., sus?
13, no username entered, 2022-06-13, 14:21:04, no description given, ., sus?
14, no username entered, 2022-06-13, 14:23:39, no description given, ., sus?
15, no username entered, 2022-06-13, 14:24:35, no description given, ., sus?
16, no username entered, 2022-06-13, 14:30:15, no description given, ., sus?
17, no username entered, 2022-06-13, 15:29:16, no description given, ., sus?
18, no username entered, 2022-06-13, 16:41:17, no description given, ., sus?
19, no username entered, 2022-06-13, 17:09:02, no description given, ., sus?
20, no username entered, 2022-06-13, 17:13:01, no description given, ., sus?
21, no username entered, 2022-06-13, 17:21:03, no description given, ., sus?
22, no username entered, 2022-06-13, 17:22:44, no description given, ., sus?
23, no username entered, 2022-06-13, 17:23:46, no description given, ., sus?
24, no username entered, 2022-06-13, 17:27:13, no description given, ., sus?
25, no username entered, 2022-06-13, 17:28:43, no description given, ., sus?
26, no username entered, 2022-06-13, 17:29:35, no description given, ., sus?
27, no username entered, 2022-06-13, 17:29:58, no description given, ., sus?
28, no username entered, 2022-06-13, 17:33:51, no description given, ., sus?
